tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000929	short	Klebolin klebt alles	Klebolin klebt alles	0	1990	\N	\N	Comedy,Short
tt0000977	short	Mutterliebe	Mutterliebe	0	1990	\N	\N	Short
tt0034841	short	Hen Hop	Hen Hop	0	1994	\N	4	Animation,Short
tt0040844	short	Crossroads of Laredo	Crossroads of Laredo	0	1995	\N	30	Short,Western
tt0078006	short	Norman and the Killer	Norman and the Killer	0	1991	\N	30	Horror,Short
tt0082473	short	The Great Barrier Reef	Great Barrier Reef	0	1999	\N	39	Documentary,Short
tt0082891	short	Peep Show	Peep Show	0	1992	\N	7	Drama,Short
tt0084447	short	Open House	Open House	0	1992	\N	25	Drama,Short
tt0084638	short	Scenes from the Life of Andy Warhol: Friendships and Intersections	Scenes from the Life of Andy Warhol: Friendships and Intersections	0	1990	\N	36	Documentary,Short
tt0087306	short	Les funérailles du Larle Naba	Les funérailles du Larle Naba	0	1992	\N	30	Short
tt0090144	short	Le temps des bouffons	Le temps des bouffons	0	1993	\N	15	Documentary,Short
tt0091490	short	Martina's Playhouse	Martina's Playhouse	0	1993	\N	20	Drama,Short
tt0093099	short	Going Equipped	Going Equipped	0	1990	\N	5	Animation,Crime,Documentary
tt0093211	short	Horrorshow	Horrorshow	0	1990	\N	5	Horror,Short
tt0093646	short	Nonstop	Nonstop	0	1990	\N	20	Drama,Short
tt0094390	short	Zwisch!	Zwisch!	0	1991	\N	1	Short
tt0095147	short	Feet of Song	Feet of Song	0	1992	\N	6	Animation,Musical,Short
tt0095229	short	God morgon Gerda Gök	God morgon Gerda Gök	0	1993	\N	7	Animation,Family,Short
tt0095571	short	The Making of Monsters	The Making of Monsters	0	1991	\N	35	Short
tt0096035	short	Sapphire Man	Sapphire Man	0	1990	\N	25	Crime,Drama,Short
tt0096107	short	Seven Days a Week - CITY LIFE - Warsaw	Seven Days a Week - CITY LIFE - Warsaw	0	1990	\N	18	Documentary,Drama,Short
tt0096254	short	That Burning Question	That Burning Question	0	1990	\N	30	Short
tt0096345	short	Unter Freunden	Unter Freunden	0	1990	\N	15	Short
tt0096975	short	Bravo Papa 2040	Bravo Papa 2040	0	1992	\N	6	Short
tt0097057	short	The Child Eater	The Child Eater	0	1990	\N	15	Short
tt0097310	short	Ex libris	Ex libris	0	1990	\N	12	Short
tt0097362	short	The First Emperor of China	The First Emperor of China	0	1990	\N	42	Documentary,Short
tt0097436	short	Gisèle Kérozène	Gisèle Kérozène	0	1990	\N	5	Action,Comedy,Fantasy
tt0097509	short	The Hill Farm	The Hill Farm	0	1992	\N	18	Animation,Short
tt0097558	short	Ident	Ident	0	1990	\N	5	Animation,Short
tt0097966	short	Next	Next	0	1990	\N	5	Animation,Short
tt0097970	short	Night Cries: A Rural Tragedy	Night Cries: A Rural Tragedy	0	1990	\N	19	Drama,Short
tt0098182	short	Rejsen mod en fødsel	Rejsen mod en fødsel	0	1990	\N	8	Animation,Short
tt0098267	short	Schwarzbunt Märchen	Schwarzbunt Märchen	0	1990	\N	11	Short
tt0098392	short	Der Strandpirat	Der Strandpirat	0	1990	\N	14	Short
tt0098634	short	Western	Western	0	1990	\N	2	Animation,Short,Western
tt0098962	short	12:01 PM	12:01 PM	0	1991	\N	25	Sci-Fi,Short,Thriller
tt0098985	short	The Addict	The Addict	0	1990	\N	\N	Short
tt0098997	short	L'âge de plastic	L'âge de plastic	0	1990	\N	31	Short
tt0099006	short	The Air Globes	The Air Globes	0	1990	\N	\N	Short
tt0099023	short	Les amateurs	Les amateurs	0	1990	\N	26	Documentary,Short
tt0099035	short	An der Grenze	An der Grenze	0	1991	\N	19	Short
tt0099058	short	Armenia	Armenia	0	1990	\N	11	Short
tt0099060	short	Arrivederci Roma	Arrivederci Roma	0	1990	\N	26	Romance,Short
tt0099096	short	Baito	Baito	0	1990	\N	\N	Short
tt0099102	short	Band söker basist	Band söker basist	0	1990	\N	14	Comedy,Music,Short
tt0099105	short	Barbie Digs Joe	Barbie Digs Joe	0	1990	\N	\N	Short
tt0099115	short	Die Beichte	Die Beichte	0	1990	\N	11	Animation,Short
tt0099147	short	Blaubart	Blaubart	0	1990	\N	15	Short
tt0099158	short	Blue Planet	Blue Planet	0	1990	\N	42	Documentary,Short
tt0015414	movie	La tierra de los toros	La tierra de los toros	0	2000	\N	60	\N
tt0015724	movie	Dama de noche	Dama de noche	0	1993	\N	102	Drama,Mystery,Romance
tt0038086	movie	Shiva und die Galgenblume	Shiva und die Galgenblume	0	1993	\N	\N	Thriller
tt0059325	movie	Born in '45	Jahrgang 45	0	1990	\N	100	Drama,Romance
tt0059900	movie	Wenn du groß bist, lieber Adam	Wenn du groß bist, lieber Adam	0	1990	\N	78	Drama,Fantasy
tt0065188	movie	Vojtech, receny sirotek	Vojtech, receny sirotek	0	1990	\N	80	Drama
